compania,titulo,marca,procesador,ram,tarjeta_grafica,pantalla,almacenamiento,sistema_operativo,precio_normal,precio_oferta,urls
Falabella,"Notebook 14-cf0024la Intel Pentium 8GB RAM 256GB SSD 14"" ",Hp,Intel Pentium,8GB,Intel UHD 605,14 pulgadas,256Gb,Windows 10 Home,,$  439.990 ,https://www.falabella.com/falabella-cl/product/12000853/Notebook-14-cf0024la-Intel-Pentium-8GB-RAM-256GB-SSD-14-/12000853
Falabella,Ntbk Dell 3593 I3-1005G1/ 4Gb/1Tb/15.6/ Freedos ,Dell,Intel Core i3,4GB,N/A,15.6 pulgadas,No Aplica,,$  499.990 ,$  449.990 (Oferta),https://www.falabella.com/falabella-cl/product/14592279/Ntbk-Dell-3593-I3-1005G1-4Gb-1Tb-15.6-Freedos/14592279
Falabella,"Notebook VivoBook S433  Intel Core i7-10510U 8GB RAM+ 32GB Intel Optane 512GB SSD 14"" ",Asus,Intel Core i7,8GB,No aplica,14 pulgadas,512Gb,Windows 10 Home,$  999.990 ,$  849.990 (Oferta),https://www.falabella.com/falabella-cl/product/8475556/Notebook-VivoBook-S433-Intel-Core-i7-10510U-8GB-RAM+-32GB-Intel-Optane-512GB-SSD-14-/8475556
Falabella,Notebook Predator 300 I7 16Gb Ram 512Gb Ssd 15.6 ,Acer,Intel Core i7,16GB,NVIDIA GEFORCE RTX 2060 6 GB,15.6 pulgadas,512Gb,,$  2.199.000 ,$  1.799.000 (Oferta),https://www.falabella.com/falabella-cl/product/14561360/Notebook-Predator-300-I7-16Gb-Ram-512Gb-Ssd-15.6/14561360
Falabella,"Notebook Gamer AMD Ryzen 7 3750H 8GB RAM 512GB SSD AMD Radeon RX 5500M 15.6"" ",Msi,AMD Ryzen R7,8GB,AMD Radeon RX 5500M,15.6 pulgadas,512Gb,Windows 10,,$  1.249.990 ,https://www.falabella.com/falabella-cl/product/12369066/Notebook-Gamer-AMD-Ryzen-7-3750H-8GB-RAM-512GB-SSD-AMD-Radeon-RX-5500M-15.6-/12369066
Falabella,"Notebook Gamer Intel Core i9-9880H 32GB RAM + + 32GB Intel Optane 512GB SSD NVIDIA GeForce RTX 2080 15,6"" ",Hp,Intel Core i9,32GB,NVIDIA GeForce RTX 2080,15.6 pulgadas,512Gb,Windows 10 Home,,$  3.799.990 ,"https://www.falabella.com/falabella-cl/product/8506942/Notebook-Gamer-Intel-Core-i9-9880H-32GB-RAM-+-+-32GB-Intel-Optane-512GB-SSD-NVIDIA-GeForce-RTX-2080-15,6-/8506942"
Falabella,Notebook Lenovo V130 I3-7020 4Gb 1Tb W10Home ,Lenovo,Intel Core i3,4GB,INTEGRADA,14 pulgadas,No Aplica,,,$  449.900 ,https://www.falabella.com/falabella-cl/product/14602055/Notebook-Lenovo-V130-I3-7020-4Gb-1Tb-W10Home/14602055
Falabella,"Notebook Intel Core Intel Core i7-10750H 16GB RAM + 32GB Intel Optane 512GB SSD NVIDIA GeForce GTX 1650 Ti 15.6"" ",Hp,Intel Core i7,16GB,NVIDIA GeForce GTX 1650 Ti,15.6 pulgadas,512Gb,Windows 10 Home,,$  1.599.990 ,https://www.falabella.com/falabella-cl/product/14550525/Notebook-Intel-Core-Intel-Core-i7-10750H-16GB-RAM-+-32GB-Intel-Optane-512GB-SSD-NVIDIA-GeForce-GTX-1650-Ti-15.6-/14550525
Falabella,Notebook  Dell E7270 I7 8Gb 256Gb Reacondicionado ,Dell,Intel Core i7,8GB,Gráficos Intel® HD 520,16 pulgadas,256Gb,,$  599.900 ,$  579.000 (Oferta),https://www.falabella.com/falabella-cl/product/14622849/Notebook-Dell-E7270-I7-8Gb-256Gb-Reacondicionado/14622849
Falabella,"Notebook Gamer OMEN AMD Ryzen 7 16GB RAM 512GB SSD NVIDIA GeForce RTX 2060 15.6"" ",Hp,Amd Ryzen R7,16GB,NVIDIA GeForce RTX 2060,15.6 pulgadas,512Gb,Windows 10 Home,,$  1.299.990 ,https://www.falabella.com/falabella-cl/product/14669703/Notebook-Gamer-OMEN-AMD-Ryzen-7-16GB-RAM-512GB-SSD-NVIDIA-GeForce-RTX-2060-15.6-/14669703
